1,1,0,0
2,3,0,0
3,3,0,0
4,6,0,0
5,7,0,0
6,9,0,0
6,6,0,0
6,4,0,0
7,8,0,0
7,8,0,0
7,10,0,0
8,12,0,0
8,11,0,0
10,13,0,0
11,12,0,0
12,22,0,0
12,19,0,0
11,17,0,0
10,14,0,0
9,17,0,0
8,17,0,0
7,16,0,0
7,13,0,0
7,15,0,0
6,11,0,0
6,13,0,0
5,13,0,0
6,16,0,0
6,19,0,0
7,21,0,0
6,17,0,0
7,25,0,0
7,17,0,0
7,19,0,0
7,16,0,0
7,14,0,0
7,16,0,0
7,13,0,0
7,12,0,0
7,12,0,0
7,14,0,0
7,17,0,0
8,10,0,0
7,14,0,0
5,8,0,0
6,12,0,0
6,10,0,0
6,12,0,0
7,21,0,0
7,23,0,0
7,25,0,0
7,18,0,0
6,15,0,0
6,15,0,0
6,10,0,0
6,10,0,0
5,11,0,0
6,10,0,0
6,10,0,0
4,9,0,0
5,12,0,0
5,13,0,0
5,14,0,0
6,15,0,0
6,10,0,0
5,7,0,0
6,9,0,0
5,7,0,0
6,6,0,0
6,7,0,0
4,11,0,0
4,11,0,0
5,15,0,0
6,17,0,0
5,14,0,0
6,14,0,0
5,13,0,0
7,20,0,0
5,16,0,0
6,19,0,0
6,17,0,0
6,13,0,0
5,14,0,0
6,16,0,0
6,15,0,0
5,10,0,0
7,9,0,0
6,9,0,0
6,13,0,0
6,16,0,0
6,16,0,0
6,22,0,0
6,18,0,0
6,23,0,0
6,21,0,0
6,16,0,0
6,16,0,0
6,16,0,0
6,18,0,0
6,12,0,0
5,9,0,0
6,12,0,0
6,15,0,0
4,10,0,0
6,13,0,0
6,11,0,0
7,12,0,0
6,10,0,0
6,13,0,0
5,13,0,0
5,13,0,0
5,12,0,0
5,8,0,0
4,10,0,0
5,10,0,0
6,17,0,0
6,13,0,0
6,13,0,0
6,7,0,0
5,7,0,0
6,13,0,0
7,14,0,0
6,11,0,0
6,11,0,0
7,14,0,0
8,21,0,0
7,20,0,0
6,21,0,0
6,19,0,0
6,21,0,0
5,22,0,0
4,21,0,0
4,20,0,0
5,19,0,0
4,17,0,0
4,21,0,0
5,17,0,0
5,18,0,0
4,15,0,0
4,16,0,0
3,6,0,0
5,12,0,0
4,12,0,0
5,12,0,0
5,11,0,0
4,7,0,0
5,9,0,0
4,12,0,0
5,11,0,0
5,13,0,0
6,19,0,0
5,20,0,0
4,17,0,0
5,23,0,0
4,16,0,0
5,20,0,0
4,19,0,0
4,15,0,0
4,16,0,0
4,17,0,0
5,15,0,0
4,7,0,0
4,10,0,0
3,6,0,0
3,4,0,0
4,5,0,0
3,6,0,0
3,9,0,0
4,12,0,0
4,15,0,0
5,16,0,0
6,17,0,0
5,16,0,0
5,17,0,0
4,14,0,0
4,12,0,0
4,13,0,0
5,15,0,0
4,10,0,0
5,13,0,0
4,14,0,0
5,18,0,0
5,19,0,0
6,17,0,0
4,14,0,0
4,15,0,0
4,11,0,0
4,6,0,0
4,6,0,0
5,11,0,0
4,10,0,0
4,14,0,0
4,15,0,0
4,12,0,0
5,17,0,0
5,22,0,0
4,22,0,0
4,23,0,0
4,17,0,0
4,18,0,0
4,22,0,0
4,21,0,0
4,18,0,0
4,16,0,0
5,18,0,0
5,23,0,0
5,20,0,0
6,25,0,0
5,21,0,0
6,18,0,0
5,17,0,0
4,23,0,0
4,16,0,0
3,14,0,0
4,16,0,0
3,17,0,0
3,15,0,0
3,10,0,0
4,14,0,0
4,16,0,0
4,16,0,0
4,11,0,0
4,14,0,0
5,15,0,0
5,18,0,0
4,12,0,0
4,18,0,0
4,17,0,0
4,13,0,0
4,15,0,0
4,19,0,0
4,22,0,0
4,14,0,0
5,15,0,0
4,10,0,0
4,10,0,0
2,7,0,0
3,10,0,0
5,15,0,0
5,18,0,0
4,13,0,0
5,14,0,0
5,13,0,0
6,18,0,0
5,16,0,0
4,7,0,0
3,5,0,0
4,12,0,0
5,19,0,0
4,12,0,0
4,11,0,0
3,13,0,0
3,9,0,0
4,15,0,0
4,17,0,0
4,14,0,0
4,15,0,0
6,26,0,0
6,27,0,0
7,27,0,0
6,27,0,0
6,22,0,0
6,20,0,0
5,17,0,0
5,17,0,0
5,12,0,0
4,11,0,0
4,14,0,0
4,16,0,0
4,9,0,0
4,9,0,0
3,7,0,0
3,7,0,0
3,7,0,0
3,7,0,0
3,7,0,0
3,6,0,0
3,11,0,0
3,11,0,0
4,15,0,0
4,20,0,0
4,13,0,0
5,12,0,0
4,13,0,0
5,22,0,0
4,19,0,0
5,23,0,0
4,22,0,0
5,19,0,0
4,14,0,0
3,12,0,0
3,12,0,0
3,18,0,0
3,14,0,0
3,13,0,0
3,10,0,0
3,9,0,0
3,8,0,0
2,10,0,0
2,9,0,0
3,17,0,0
4,17,0,0
4,19,0,0
3,17,0,0
4,21,0,0
3,15,0,0
3,13,0,0
2,10,0,0
3,17,0,0
3,19,0,0
4,19,0,0
3,17,0,0
4,13,0,0
3,15,0,0
4,16,0,0
4,13,0,0
3,9,0,0
3,16,0,0
3,12,0,0
3,10,0,0
3,15,0,0
3,15,0,0
3,17,0,0
3,17,0,0
3,26,0,0
3,19,0,0
2,17,0,0
3,25,0,0
3,17,0,0
3,21,0,0
3,19,0,0
3,19,0,0
3,23,0,0
2,13,0,0
2,12,0,0
2,9,0,0
2,10,0,0
3,15,0,0
4,20,0,0
3,17,0,0
3,12,0,0
3,14,0,0
4,15,0,0
5,25,0,0
5,24,0,0
4,21,0,0
4,18,0,0
3,17,0,0
4,22,0,0
4,17,0,0
4,19,0,0
4,14,0,0
4,20,0,0
4,19,0,0
4,20,0,0
4,22,0,0
5,26,0,0
4,22,0,0
5,24,0,0
4,20,0,0
4,13,0,0
4,19,0,0
4,20,0,0
4,17,0,0
4,13,0,0
3,13,0,0
3,11,0,0
2,13,0,0
3,17,0,0
3,16,0,0
2,17,0,0
3,18,0,0
3,16,0,0
3,13,0,0
3,13,0,0
3,17,0,0
2,14,0,0
2,14,0,0
2,19,0,0
2,18,0,0
2,18,0,0
2,16,0,0
1,11,0,0
2,11,0,0
2,14,0,0
2,16,0,0
2,18,0,0
3,21,0,0
3,22,0,0
3,20,0,0
4,18,0,0
3,16,0,0
4,12,0,0
3,13,0,0
4,21,0,0
3,19,0,0
3,16,0,0
3,17,0,0
3,18,0,0
4,24,0,0
4,22,0,0
3,19,0,0
2,15,0,0
3,15,0,0
3,13,0,0
4,16,0,0
4,15,0,0
2,15,0,0
2,12,0,0
2,14,0,0
3,12,0,0
3,12,0,0
2,8,0,0
3,11,0,0
2,11,0,0
3,14,0,0
3,15,0,0
3,17,0,0
3,19,0,0
3,16,0,0
3,15,0,0
4,18,0,0
4,21,0,0
3,13,0,0
2,9,0,0
3,9,0,0
2,8,0,0
2,8,0,0
2,8,0,0
3,14,0,0
3,18,0,0
3,18,0,0
3,23,0,0
2,14,0,0
3,18,0,0
2,13,0,0
2,11,0,0
3,16,0,0
3,16,0,0
3,12,0,0
4,14,0,0
4,15,0,0
4,14,0,0
4,19,0,0
4,23,0,0
4,15,0,0
4,24,0,0
3,16,0,0
4,18,0,0
4,19,0,0
3,18,0,0
3,15,0,0
2,12,0,0
3,11,0,0
3,18,0,0
3,20,0,0
3,18,0,0
2,17,0,0
2,12,0,0
2,12,0,0
2,15,0,0
2,17,0,0
2,18,0,0
3,17,0,0
4,23,0,0
4,19,0,0
4,19,0,0
4,17,0,0
3,11,0,0
4,21,0,0
3,14,0,0
3,19,0,0
3,22,0,0
4,19,0,0
3,19,0,0
4,20,0,0
3,21,0,0
3,19,0,0
3,19,0,0
4,19,0,0
3,14,0,0
4,18,0,0
4,13,0,0
4,16,0,0
3,16,0,0
4,21,0,0
4,24,0,0
3,16,0,0
2,14,0,0
2,14,0,0
2,17,0,0
2,12,0,0
2,16,0,0
3,18,0,0
3,22,0,0
4,22,0,0
3,18,0,0
3,18,0,0
2,8,0,0
2,11,0,0
2,12,0,0
3,20,0,0
3,17,0,0
4,19,0,0
4,20,0,0
3,14,0,0
2,17,0,0
3,21,0,0
4,25,0,0
3,18,0,0
4,19,0,0
4,15,0,0
4,13,0,0
3,10,0,0
2,12,0,0
3,14,0,0
4,19,0,0
4,22,0,0
5,27,0,0
4,23,0,0
4,19,0,0
4,19,0,0
3,19,0,0
4,19,0,0
3,16,0,0
4,23,0,0
4,25,0,0
4,22,0,0
4,22,0,0
4,21,0,0
4,25,0,0
3,19,0,0
4,21,0,0
4,21,0,0
4,22,0,0
3,18,0,0
3,15,0,0
3,15,0,0
3,14,0,0
3,10,0,0
3,7,0,0
3,11,0,0
2,13,0,0
3,12,0,0
3,8,0,0
2,11,0,0
2,12,0,0
2,8,0,0
2,3,0,0
1,2,0,0
1,3,0,0
1,3,0,0
1,4,0,0
1,7,0,0
2,8,0,0
2,11,0,0
4,15,0,0
2,9,0,0
3,16,0,0
3,15,0,0
3,14,0,0
3,13,0,0
2,12,0,0
3,18,0,0
3,13,0,0
3,16,0,0
3,19,0,0
3,15,0,0
2,12,0,0
2,13,0,0
2,7,0,0
2,9,0,0
2,11,0,0
3,12,0,0
3,17,0,0
3,19,0,0
4,17,0,0
3,10,0,0
3,12,0,0
3,12,0,0
4,16,0,0
4,15,0,0
4,15,0,0
4,17,0,0
4,14,0,0
4,15,0,0
4,17,0,0
3,10,0,0
3,14,0,0
3,14,0,0
2,10,0,0
2,10,0,0
2,14,0,0
2,11,0,0
3,17,0,0
3,20,0,0
2,14,0,0
3,15,0,0
3,15,0,0
4,23,0,0
4,24,0,0
3,19,0,0
3,15,0,0
3,17,0,0
4,26,0,0
3,24,0,0
3,21,0,0
3,19,0,0
4,19,0,0
3,13,0,0
3,12,0,0
3,10,0,0
2,5,0,0
2,3,0,0
1,0,0,0
1,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
1,0,0,0
2,0,0,0
1,0,0,0
1,0,0,0
2,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
2,0,0,0
1,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
2,0,0,0
2,0,0,0
1,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
1,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
2,0,0,0
2,0,0,0
1,0,0,0
2,0,0,0
2,0,0,0
1,0,0,0
1,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
1,0,0,0
1,0,0,0
2,0,0,0
2,0,0,0
1,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
2,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
2,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
